total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,previous_pl_seasons,Player_pid
60,1314,2,1,4,16,0,0,0,0,0,0,176,1,346
45,1076,0,0,5,13,0,0,0,0,0,0,118,1,347
485,18099,5,7,40,265,0,0,0,78,7,0,963,10,348
774,19369,26,33,55,288,0,0,1,43,0,0,1646,9,349
293,8101,10,4,8,149,0,0,0,22,1,0,494,9,350
57,1294,3,4,1,29,0,0,0,3,1,0,180,1,351
47,1071,2,2,5,10,0,0,0,3,0,0,172,1,352
45,919,3,1,1,14,0,0,0,0,0,0,185,2,353
213,4981,14,7,17,78,0,0,0,14,1,0,753,6,354
968,17775,97,27,30,249,0,0,5,25,2,0,1505,10,355
399,9418,0,2,29,132,0,0,0,2,1,333,851,9,356
3,90,0,0,0,1,0,0,0,0,0,4,10,1,357
259,8457,0,7,20,134,0,0,0,16,3,0,1155,7,358
565,16269,4,4,53,243,0,0,0,32,0,0,2175,5,359
350,9896,0,7,38,139,1,0,0,18,0,0,1204,5,360
411,12111,3,8,39,175,0,0,0,25,1,1,1615,5,361
62,2299,0,0,4,33,0,0,0,6,0,0,266,3,362
191,5355,1,1,18,81,1,0,0,3,0,0,630,2,363
0,0,0,0,0,0,0,0,0,0,0,0,0,1,364
13,355,0,1,1,3,1,0,0,0,0,0,75,2,365
297,9278,5,9,29,128,1,0,0,11,0,0,1196,5,367
563,9602,33,24,30,153,0,0,0,10,0,0,1795,5,368
527,13189,13,22,39,204,0,0,0,9,1,0,1610,9,369
267,9609,0,3,32,138,0,0,0,14,0,0,1086,5,370
8,216,0,0,1,2,0,0,0,1,0,0,34,3,371
336,8781,13,7,27,134,0,0,0,13,0,0,1280,4,372
126,2932,1,10,9,42,0,0,0,0,0,0,490,2,373
171,2927,12,5,8,43,0,0,0,5,0,0,524,1,374
223,5579,9,8,17,106,0,0,0,11,1,0,796,3,375
422,8516,18,15,32,133,0,0,0,8,2,0,1414,5,376
160,3353,13,1,10,51,0,0,0,0,0,0,544,2,377
62,1110,1,4,0,21,0,0,0,4,0,0,137,4,378
60,1080,1,5,3,19,0,0,0,1,0,0,176,2,379
498,12153,0,0,44,161,0,2,0,2,0,356,1579,4,380
347,8424,0,0,29,125,0,3,0,5,1,309,935,5,381
254,5681,5,3,22,58,0,0,0,6,0,0,943,2,382
375,9325,7,19,31,125,0,0,0,25,2,0,1381,9,383
563,14449,5,18,46,185,1,0,0,27,0,1,1955,7,384
404,10468,6,4,35,139,1,0,0,22,0,0,1453,4,385
281,8112,3,6,21,122,0,0,0,14,0,0,1089,4,386
144,3874,1,5,11,57,1,0,0,3,0,0,616,2,387
33,812,0,0,4,6,0,0,0,2,0,0,131,1,388
69,1823,0,3,6,26,0,0,0,2,0,0,227,2,389
223,5556,5,5,18,72,0,0,0,14,0,0,872,2,390
448,12458,11,13,48,153,0,0,0,19,0,0,1800,6,391
283,4806,15,11,15,75,0,0,0,5,0,0,955,3,392
230,5002,7,17,17,68,0,0,0,16,0,0,1001,3,393
472,8044,23,29,26,109,0,0,0,9,0,0,1920,3,394
95,3434,0,4,9,58,0,0,0,11,0,0,473,3,395
110,3118,2,4,10,46,0,0,0,13,0,0,514,3,396
58,1288,1,1,4,18,0,0,0,4,0,0,203,5,397
166,2471,10,12,10,21,0,0,0,7,0,0,666,1,398
8,83,0,0,0,4,0,0,0,0,0,0,17,2,399
181,6514,4,2,24,72,0,0,0,21,3,0,768,3,400
4,77,0,0,0,0,0,0,0,0,0,0,-3,3,401
70,1107,4,1,6,12,0,0,0,0,0,0,244,1,402
435,6585,49,10,22,82,3,0,1,9,0,0,2039,5,403
12,192,0,1,1,1,0,0,0,0,0,0,38,1,404
204,4680,0,0,17,73,1,0,0,6,0,199,509,5,406
546,11871,0,0,18,154,0,8,0,11,0,448,375,7,407
155,5421,2,0,14,99,1,0,0,4,0,0,335,4,408
59,1778,2,0,5,28,0,0,0,5,0,0,181,1,409
30,771,0,1,2,12,0,0,0,1,0,0,88,1,410
25,945,1,0,1,16,0,0,0,2,0,0,96,1,411
89,2469,0,1,9,34,0,0,0,8,0,0,275,1,412
57,2073,0,0,7,28,0,0,0,7,0,0,205,1,413
107,2136,2,4,2,39,0,0,0,9,0,0,112,6,415
120,4396,1,1,16,61,0,0,0,10,0,0,587,3,416
71,1975,2,0,7,33,0,0,0,4,0,0,250,1,417
313,7815,11,12,14,148,0,0,2,10,0,0,622,6,418
57,1686,0,2,6,26,0,0,0,0,0,0,176,1,419
178,5842,4,3,5,91,0,0,0,8,1,0,127,4,420
13,231,0,2,0,4,0,0,0,2,0,0,55,1,421
12,506,0,0,1,9,0,0,0,2,1,0,74,1,422
19,749,0,0,0,18,0,0,0,2,0,0,69,1,423
166,3293,13,9,11,47,1,0,1,6,0,0,629,1,425
175,3147,16,6,12,44,0,0,0,4,0,0,709,1,426
2,7,0,0,0,0,0,0,0,0,0,0,0,1,427
2,27,0,0,0,1,0,0,0,0,0,0,2,2,428
386,10475,0,0,15,202,1,2,0,6,0,419,530,8,429
806,19027,0,1,45,292,0,6,0,7,0,723,1328,10,430
638,14727,5,6,45,158,2,0,0,19,2,0,1595,9,431
510,16483,8,8,34,277,3,0,0,33,1,0,1396,7,432
267,7556,6,2,24,115,1,0,0,10,0,0,909,5,433
45,1247,0,1,5,18,0,0,0,1,0,0,166,2,434
12,270,0,1,0,3,0,0,0,2,0,0,30,2,435
495,14109,9,5,45,216,5,0,0,13,2,0,1673,5,436
165,4699,3,0,16,69,2,0,0,9,1,0,530,4,437
709,16809,22,46,37,292,0,0,3,40,0,0,1463,7,438
600,15513,16,21,35,167,0,0,0,19,1,0,896,10,439
621,16174,31,13,45,251,0,0,1,49,4,0,1237,10,440
717,17225,25,32,35,305,0,0,1,19,1,0,1610,9,441
214,8552,1,1,29,129,0,0,0,27,1,0,887,4,442
78,1315,2,5,3,24,0,0,0,4,0,0,194,7,443
274,6601,9,10,23,95,0,0,0,13,1,0,937,4,444
11,271,0,1,0,5,0,0,0,0,0,0,28,1,445
140,2871,4,11,5,69,0,0,0,1,0,0,252,2,446
447,7404,31,25,25,107,0,0,0,8,0,0,1411,4,447
295,6091,23,3,23,92,0,0,2,2,0,0,1043,3,448
115,2558,9,3,9,32,0,0,0,1,1,0,354,1,449
350,8070,0,0,24,113,0,5,0,6,2,317,953,3,450
21,630,0,0,2,14,0,0,0,0,0,16,56,2,451
680,18958,6,2,43,254,3,0,0,45,2,0,1372,10,452
308,9865,4,3,26,162,2,0,0,25,0,0,1112,5,453
262,6734,4,8,20,97,0,0,0,6,0,0,1024,2,454
11,212,0,0,1,3,0,0,0,0,0,0,28,2,455
76,2326,0,0,9,32,0,0,0,5,0,0,284,1,456
7,288,0,0,1,3,0,0,0,3,0,0,39,1,457
812,20854,30,35,43,329,1,0,3,51,4,0,1763,9,458
208,5664,9,6,18,83,0,0,0,10,1,0,866,2,459
36,1088,0,1,2,17,0,0,0,2,0,0,163,1,460
171,2570,9,13,7,42,0,0,0,3,0,0,701,1,461
100,1910,6,3,4,30,0,0,0,3,0,0,381,1,462
1,1,0,0,0,0,0,0,0,0,0,0,0,2,463
126,2057,8,7,7,29,0,0,0,3,0,0,452,2,464
554,10418,43,25,31,158,0,0,0,22,1,0,1083,9,468
150,3110,8,8,12,39,0,0,0,3,0,0,536,2,469
169,3275,14,7,8,47,0,0,0,5,0,0,611,2,470
631,18114,1,7,11,333,0,1,0,1,0,566,255,6,472
0,0,0,0,0,0,0,0,0,0,0,0,0,1,476
109,1722,9,5,8,19,0,0,0,1,0,0,441,2,478
0,0,0,0,0,0,0,0,0,0,0,0,0,1,480
59,674,3,4,1,12,0,0,0,0,0,0,159,2,483
170,3163,11,6,8,59,0,0,0,1,0,0,630,1,485
0,0,0,0,0,0,0,0,0,0,0,0,0,1,487
74,3071,0,2,6,65,0,0,0,10,0,0,270,1,488
427,12860,0,1,26,241,0,2,0,7,0,452,1234,8,490
173,3244,7,11,8,51,0,0,0,5,2,0,479,4,491
7,31,0,1,0,0,0,0,0,0,0,0,23,3,493
1,45,0,0,0,3,0,0,0,0,0,0,9,1,494
0,0,0,0,0,0,0,0,0,0,0,0,0,1,495
0,0,0,0,0,0,0,0,0,0,0,0,0,1,496
