pid,name,nationality,position
577,Mika,Portugal,GKP
578,Garcia Serrano Aleix,Spain,MID
579,Benteke Jonathan,Belgium,FWD
580,Fryers Ezekiel,England,DEF
581,Dreher Luke,England,MID
582,Ejaria Oviemuno,England,MID
583,Hamer Ben,England,GKP
584,Isgrove Lloyd,Wales,MID
585,Wynter Ben,England,DEF
586,Hesketh Jake,England,MID
587,Honeyman George,England,MID
588,Reine-Adelaide Jeff,France,MID
589,Olomola Olufela,Nigeria,MID
590,Solanke Dominic,England,FWD
591,Spiegel Raphael,Switzerland,GKP
592,McQueen Sam,England,MID
593,Maitland-Niles Ainsley,England,MID
594,Long Kevin,Ireland,DEF
595,Calvert-Lewin Dominic,England,FWD
596,Hewelt Mateusz,Poland,GKP
597,Taylor Stuart,England,GKP
598,James Daniel,England,MID
599,Verlinden Thibaud,Belgium,MID
600,Allsop Ryan,England,GKP
601,Palmer Alex,England,GKP
602,James Matthew,England,MID
603,Woodburn Ben,Wales,MID
604,Sims Joshua,England,MID
605,Eleftheriou Andrew,England,DEF
