total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,influence,creativity,threat,ict_index,Player_pid
16,783,0,0,1,18,0,0,0,2,0,0,0,136.2,55.8,7.0,19.9,152
8,378,0,1,0,14,0,0,0,0,0,0,0,106.4,12.8,21.0,14.1,153
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,154
58,1102,4,1,2,26,0,0,0,1,0,0,0,249.6,356.1,261.0,85.7,155
27,1242,0,1,1,29,0,0,0,5,0,0,0,188.0,149.8,68.0,40.7,156
26,1180,0,1,1,29,0,0,0,2,1,0,0,277.8,91.6,55.0,42.4,157
23,1108,0,0,1,27,0,0,0,0,1,0,0,190.6,97.1,35.0,32.3,158
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,159
18,621,0,1,1,13,0,0,0,2,0,0,0,66.8,99.0,35.0,20.1,160
24,686,1,0,1,18,0,0,0,1,0,0,0,132.2,113.1,57.0,30.3,161
15,151,1,1,0,5,0,0,0,0,0,0,0,73.6,38.8,48.0,16.0,162
24,671,1,1,2,11,0,0,0,0,0,0,0,61.6,92.8,221.0,37.4,163
22,642,1,0,2,10,0,0,0,1,0,0,0,80.0,117.0,110.0,30.8,164
30,686,0,0,2,11,0,0,0,0,0,35,475,221.2,0.0,0.0,22.2,165
14,574,0,0,1,13,0,0,0,0,0,14,0,107.0,0.0,2.0,11.0,166
39,1260,1,1,3,24,0,0,0,0,0,0,549,252.0,34.2,133.0,42.0,167
38,1237,1,1,3,24,0,0,0,4,0,0,482,321.2,256.7,64.0,64.4,168
4,141,0,0,0,2,0,0,0,0,0,0,236,23.4,29.2,16.0,6.9,169
0,0,0,0,0,0,0,0,0,0,0,0,35,0.0,0.0,0.0,0.0,170
0,0,0,0,0,0,0,0,0,0,0,0,129,0.0,0.0,0.0,0.0,171
29,1105,0,1,3,19,0,0,0,4,0,0,390,193.8,66.6,40.0,30.0,172
26,1166,0,1,3,22,1,0,0,4,0,0,453,221.6,14.7,150.0,38.6,173
0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,174
2,237,0,0,0,7,0,0,0,0,0,0,0,49.4,60.4,0.0,11.0,175
50,1083,3,2,3,20,0,0,1,2,0,0,994,226.4,297.8,361.0,88.6,176
24,771,0,0,4,14,0,0,0,1,0,0,519,77.4,167.1,65.0,30.8,177
16,625,0,0,0,11,0,0,0,0,0,0,174,77.2,69.3,80.0,22.7,178
31,1068,0,1,3,20,0,0,0,1,0,0,592,197.6,138.5,147.0,48.4,179
0,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,180
20,233,1,2,0,5,0,0,0,1,0,0,57,76.2,56.6,43.0,17.6,181
23,837,0,1,2,18,0,0,0,2,0,0,23,103.4,122.7,57.0,28.5,182
0,52,0,0,0,0,0,0,0,1,0,0,0,0.0,0.8,0.0,0.0,183
43,1045,2,3,3,23,0,0,0,2,0,0,945,129.4,147.8,266.0,53.8,184
7,99,0,0,0,2,0,0,0,0,0,0,226,4.8,11.4,21.0,3.3,185
27,615,2,0,2,9,0,0,0,0,0,0,320,86.6,70.9,184.0,33.4,186
28,488,2,0,1,11,0,0,0,1,0,0,0,101.0,107.7,167.0,37.0,187
16,450,0,0,0,8,0,1,0,0,0,10,340,109.2,0.0,0.0,10.8,188
31,810,0,0,3,10,0,0,0,0,0,19,0,143.2,0.0,0.0,14.4,189
0,0,0,0,0,0,0,0,0,0,0,0,273,0.0,0.0,0.0,0.0,190
40,990,2,0,3,15,0,0,0,3,0,0,248,309.8,50.6,128.0,48.9,191
8,200,0,1,0,5,0,0,0,1,0,0,394,40.2,32.5,8.0,8.1,192
45,1260,0,1,3,18,0,0,0,0,0,0,387,222.2,315.3,139.0,67.6,193
3,225,0,0,0,4,0,0,0,1,0,0,67,44.4,15.4,0.0,6.0,194
0,0,0,0,0,0,0,0,0,0,0,0,58,0.0,0.0,0.0,0.0,195
0,0,0,0,0,0,0,0,0,0,0,0,30,0.0,0.0,0.0,0.0,196
0,80,0,0,0,2,0,0,0,1,0,0,35,10.2,1.5,25.0,3.7,197
4,20,0,0,0,0,0,0,0,0,0,0,69,3.6,0.4,0.0,0.4,198
39,990,1,0,3,9,0,0,0,1,0,0,0,263.6,57.2,112.0,43.2,199
8,286,0,0,0,6,0,0,0,1,0,0,253,77.8,16.4,27.0,12.3,200
51,1243,1,4,3,18,0,0,0,6,0,0,250,354.2,391.4,42.0,78.8,201
58,1012,4,2,3,17,0,0,0,4,0,0,132,319.4,287.5,301.0,90.9,202
78,960,5,6,3,11,0,0,0,2,0,0,459,395.8,526.6,529.0,144.9,203
38,661,3,1,3,9,0,0,0,2,0,0,399,199.6,183.2,241.0,62.1,204
60,788,3,5,2,15,0,0,0,1,0,0,416,279.0,229.6,304.0,80.9,205
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,206
0,0,0,0,0,0,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,207
64,1061,5,1,3,13,0,0,0,1,0,0,508,386.4,303.4,221.0,91.2,208
75,1154,5,5,3,17,0,0,0,1,0,0,522,356.4,491.2,626.0,147.5,209
0,0,0,0,0,0,0,0,0,0,0,0,27,0.0,0.0,0.0,0.0,210
0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,211
81,1117,7,4,4,12,0,0,0,1,0,0,635,387.8,294.0,544.0,122.6,212
56,1063,7,1,1,23,0,0,1,3,0,0,315,284.4,202.6,661.0,113.4,213
20,380,0,3,1,4,0,0,0,1,0,0,283,54.0,91.5,223.0,36.6,214
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,215
0,0,0,0,0,0,0,0,0,0,0,0,81,0.0,0.0,0.0,0.0,216
22,260,2,0,0,6,0,0,0,0,0,0,200,87.6,65.0,102.0,25.3,217
0,0,0,0,0,0,0,0,0,0,0,0,360,0.0,0.0,0.0,0.0,218
6,270,0,0,0,3,0,0,0,0,0,5,45,47.6,0.0,0.0,4.8,219
25,1112,0,0,2,13,1,0,0,4,0,0,429,233.0,122.0,101.0,45.8,220
9,428,0,0,0,6,0,0,0,1,0,0,152,68.6,27.3,2.0,9.8,221
3,114,0,0,0,1,0,0,0,1,0,0,173,16.4,1.3,6.0,2.4,222
16,551,0,0,1,7,0,0,0,0,0,0,166,105.6,87.6,6.0,20.0,223
18,527,0,1,1,5,0,0,0,1,0,0,386,78.2,41.4,29.0,14.9,224
0,0,0,0,0,0,0,0,0,0,0,0,235,0.0,0.0,0.0,0.0,225
28,951,0,2,1,12,0,0,0,5,0,0,353,289.0,73.4,95.0,46.0,226
2,30,0,0,0,1,0,0,0,0,0,0,156,0.0,4.2,2.0,0.6,227
55,997,4,3,2,11,0,0,0,3,0,0,400,256.6,254.7,521.0,103.1,228
1,16,0,0,0,0,0,0,0,0,0,0,164,4.8,12.3,41.0,5.8,229
32,979,0,2,2,12,0,0,0,1,0,0,351,200.2,537.0,286.0,102.4,230
18,195,2,0,0,3,0,0,0,0,0,0,525,86.2,33.3,106.0,22.5,231
19,378,0,2,1,7,0,0,0,1,0,0,408,40.8,159.5,74.0,27.3,232
35,1260,1,1,2,15,0,0,0,3,1,0,417,247.2,264.7,165.0,67.6,233
10,301,0,0,1,3,0,0,0,1,0,0,236,63.4,17.6,5.0,8.6,234
72,951,2,9,1,12,0,0,1,1,0,0,546,323.8,631.2,315.0,127.2,235
38,594,3,1,3,5,0,0,0,0,0,0,0,179.6,188.7,188.0,55.7,236
